area_name,public_primary_care_count,public_hospital_count,year,source,primary_source_url,hospital_source_url,notes
Anfa,3,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Maarif,8,3,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Sidi Belyout,5,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Al Fida,8,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Mers Sultan,5,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Hay Mohammadi,9,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Roches Noires,3,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation Assoukhour Assawda
Ain Sebaa,3,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Hay Hassani,16,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Ain Chock,13,2,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Sidi Bernoussi,4,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Sidi Moumen,11,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Ben M'Sick,5,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Sbata,4,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Moulay Rachid,10,0,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
Sidi Othmane,10,1,2024,Ministere de la Sante et de la Protection Sociale,https://data.gov.ma/data/fr/dataset/2932e8a4-272c-4101-80ef-85519de47e7c,https://data.gov.ma/data/fr/dataset/0977885b-7596-4499-9880-bf9f375e3c72,Aggregation par arrondissement
